stem,dice,iou,precision,recall,pred_positive_pixels,gt_positive_pixels,tp_pixels,fp_pixels,fn_pixels,complete_miss,pred_gt_ratio,subject,skin_tone_category,ita_group_index_5,ITA
TAM006_V5_UA_N,0.8945837772466815,0.8092732482417296,0.9788896590837481,0.8236479321314952,15869,18860,15534.0,335.0,3326.0,False,0.8414103923647932,TAM006,Dark (VI),4,-19.33250933042913
TAM006_V17_UA_N,0.7344298946023634,0.5803154574132492,1.0,0.5803154574132492,4599,7925,4599.0,0.0,3326.0,False,0.5803154574132492,TAM006,Dark (VI),4,-25.465380738794632
TAM0009_V2_UA_N,0.7464605150793294,0.5954822517031194,1.0,0.5954822517031194,8304,13945,8304.0,0.0,5641.0,False,0.5954822517031194,TAM0009,Intermediate (III-IV),1,28.636735446870823
TAM009_V4_UA_N,0.851258581235698,0.7410358565737052,0.9919437195052763,0.7455227699130138,8813,11726,8742.0,71.0,2984.0,False,0.7515776906020808,TAM009,Intermediate (III-IV),1,34.65934888960142
TAM028_V13_UA_N,0.5344666810128398,0.36469091087073563,1.0,0.36469091087073563,7451,20431,7450.999999999999,9.094947017729282e-13,12980.0,False,0.36469091087073563,TAM028,Light (II-III),0,48.41732462470175
TAM030_V10_UA_N,0.880610379892791,0.7866879985973525,0.8672803711220644,0.8943565466550393,41388,40135,35895.0,5493.0,4240.0,False,1.0312196337361406,TAM030,Tan (IV),2,22.39983165987748
TAM030_V11_UA_N,0.8402565804025658,0.7245193774794019,0.9592929292929293,0.7475009838646203,59400,76230,56982.0,2418.0,19248.0,False,0.7792207792207793,TAM030,Intermediate (III-IV),1,39.19795514802316
TAM030_V12_UA_N,0.5115091507981367,0.3436427916721226,0.4438656428643913,0.6034768211920529,29563,21744,13122.000000000002,16441.0,8621.999999999998,False,1.359593451066961,TAM030,Brown (V),3,13.911625816414466
TAM030_V13_UA_N,0.6781563126252504,0.5130382049727107,0.6335101404056163,0.7295724038807043,16025,13915,10152.0,5873.0,3763.0,False,1.1516349263384837,TAM030,Intermediate (III-IV),1,33.25643666541852
TAM031_V1_UA_N,0.5902949462427414,0.41873649006892616,0.9490663708633759,0.4283628170894526,10818,23968,10267.0,551.0,13701.0,False,0.45135180240320427,TAM031,Tan (IV),2,21.59012448925853
TAM031_V2_UA_N,0.5610979929161747,0.38994871794871794,0.8883177570093458,0.4100517687661777,4280,9272,3801.9999999999995,478.00000000000045,5470.0,False,0.4616048317515099,TAM031,Intermediate (III-IV),1,29.943066228739127
TAM031_V4_UA_N,0.6227306640139268,0.4521487901769592,0.9585055887306692,0.4611757772211581,6531,13574,6260.0,271.0,7314.0,False,0.481140415500221,TAM031,Tan (IV),2,22.886388260432938
TAM033_V10_UA_N,0.8543676312968917,0.7457607297392118,0.9804735547355473,0.7570037986704653,6504,8424,6377.0,127.0,2047.0,False,0.7720797720797721,TAM033,Tan (IV),2,21.117633980564545
TAM033_V11_UA_N,0.8295090420242348,0.7086847073631215,0.7115056548935363,0.9944365948428118,15827,11324,11261.0,4566.0,63.0,False,1.3976510067114094,TAM033,Tan (IV),2,27.42911920361169
TAM033_V13_UA_N,0.2739648057676801,0.15872492442978842,0.198079561042524,0.44410272182069815,14580,6503,2888.0,11692.0,3615.0,False,2.242042134399508,TAM033,Tan (IV),2,26.358393383751764
