stem,dice,iou,precision,recall,pred_positive_pixels,gt_positive_pixels,tp_pixels,fp_pixels,fn_pixels,complete_miss,pred_gt_ratio,subject,skin_tone_category,ita_group_index_5,ITA
TAM006_V5_UA_N,0.0,0.0,0.0,0.0,4877,18860,0.0,4877.0,18860.0,True,0.2585896076352068,TAM006,Dark (VI),4,-19.33250933042913
TAM006_V17_UA_N,0.7656727272727273,0.6203158142823474,0.9036909871244635,0.6642271293375395,5825,7925,5264.0,561.0,2661.0,False,0.7350157728706624,TAM006,Dark (VI),4,-25.465380738794632
TAM0009_V2_UA_N,0.6838097615778305,0.5195371775417299,0.8145321173671689,0.5892434564359985,10088,13945,8217.0,1871.0,5728.0,False,0.7234134098243098,TAM0009,Intermediate (III-IV),1,28.636735446870823
TAM009_V4_UA_N,0.6479399228739599,0.4792242103999039,0.6182508327523433,0.6806242537949855,12909,11726,7981.000000000001,4927.999999999999,3744.999999999999,False,1.1008869179600886,TAM009,Intermediate (III-IV),1,34.65934888960142
TAM028_V13_UA_N,0.7987197932877235,0.6648904966757919,0.9981652722735946,0.665704077137683,13626,20431,13600.999999999998,25.00000000000182,6830.000000000002,False,0.6669277078948657,TAM028,Light (II-III),0,48.41732462470175
TAM030_V10_UA_N,0.812829417773238,0.6846778634361234,0.8963953139080805,0.7435156347327769,33290,40135,29841.0,3449.0,10294.0,False,0.8294506042107885,TAM030,Tan (IV),2,22.39983165987748
TAM030_V11_UA_N,0.845635052355231,0.7325543400122861,0.9950466924688421,0.735235471599108,56326,76230,56047.0,279.0,20183.0,False,0.7388954479863571,TAM030,Intermediate (III-IV),1,39.19795514802316
TAM030_V12_UA_N,0.4496996996996997,0.2900726392251816,0.3338460852505796,0.6886957321559971,44856,21744,14975.0,29881.0,6769.0,False,2.062913907284768,TAM030,Brown (V),3,13.911625816414466
TAM030_V13_UA_N,0.6839319896408063,0.519678302532512,0.715823381521056,0.6547610492274524,12728,13915,9111.0,3617.0,4804.0,False,0.914696370822853,TAM030,Intermediate (III-IV),1,33.25643666541852
TAM031_V1_UA_N,0.7641346081457502,0.6182992202729045,0.9586927775329009,0.6352219626168224,15881,23968,15225.0,656.0,8743.0,False,0.6625917890520694,TAM031,Tan (IV),2,21.59012448925853
TAM031_V2_UA_N,0.35295571066773734,0.2142964296429643,0.41304033540552265,0.30813201035375326,6917,9272,2857.0,4060.0,6415.0,False,0.7460094909404659,TAM031,Intermediate (III-IV),1,29.943066228739127
TAM031_V4_UA_N,0.4810029749256269,0.31665827318001233,0.5684009642426677,0.41689995579784883,9956,13574,5659.0,4297.0,7915.0,False,0.7334610284367172,TAM031,Tan (IV),2,22.886388260432938
TAM033_V10_UA_N,0.7991558213155118,0.6654950205038078,0.9808323260231393,0.674264007597341,5791,8424,5680.0,111.0,2744.0,False,0.6874406457739791,TAM033,Tan (IV),2,21.117633980564545
TAM033_V11_UA_N,0.4811801469553222,0.31681186283595925,0.35318427904285654,0.7546803249735076,24197,11324,8546.0,15651.0,2778.0,False,2.136789120452137,TAM033,Tan (IV),2,27.42911920361169
TAM033_V13_UA_N,0.1623832488859044,0.08836622151352069,0.13464264021056893,0.20452099031216361,9878,6503,1330.0,8548.0,5173.0,False,1.518991234814701,TAM033,Tan (IV),2,26.358393383751764
TAM033_V15_UA_N,0.6067748583204534,0.4355181658500508,0.45680209444390574,0.9033557046979865,10313,5215,4711.0,5602.0,504.0,False,1.9775647171620325,TAM033,Dark (VI),4,-4.844485835716313
TAM034_V4_UA_N,0.9015299833224567,0.8207142385636016,0.9620086660476632,0.8482057579478783,12924,14658,12433.0,491.0,2225.0,False,0.8817028243962342,TAM034,Intermediate (III-IV),1,33.86246537268775
TAM034_V5_UA_N,0.8767441860465116,0.7805383022774327,0.9926951499193069,0.7850473567542151,11773,14887,11687.0,86.0,3200.0,False,0.7908242090414456,TAM034,Intermediate (III-IV),1,30.53264577569972
TAM034_V9_LA_N,0.0,0.0,0.0,0.0,4941,822,0.0,4941.0,822.0,True,6.010948905109489,TAM034,Light (II-III),0,44.26743676685447
TAM034_V11_UA_N,0.657283221314687,0.48951739618406287,1.0,0.48951739618406287,10904,22275,10904.0,0.0,11371.0,False,0.48951739618406287,TAM034,Intermediate (III-IV),1,34.68379835771153
TAM034_V14_UA_N,0.6952627204728045,0.5328756458348078,0.9990711252653928,0.5331397819005806,7536,14122,7528.999999999999,7.0000000000009095,6593.000000000001,False,0.5336354623990937,TAM034,Intermediate (III-IV),1,29.22125532341622
TAM034_V15_UA_N,0.8123837654523575,0.6840456890198968,0.9118369351669942,0.7324916157032946,8144,10138,7426.0,718.0,2712.0,False,0.8033142631682778,TAM034,Intermediate (III-IV),1,31.02746377258213
TAM034_V17_UA_N,0.7946979352536324,0.6593350816343795,0.967117508375729,0.6744548286604362,8059,11556,7794.0,265.0,3762.0,False,0.697386638975424,TAM034,Intermediate (III-IV),1,38.76946049879104
TAM038_V1_UA_N,0.4412756823060411,0.2831005311823726,0.4121241050119332,0.47486525134748653,10475,9091,4317.0,6158.0,4774.0,False,1.152238477615224,TAM038,Dark (VI),4,5.495538804852481
TAM038_V2_UA_N,0.7543410190720182,0.6055758683729433,0.6630801951707744,0.874731803928041,7993,6059,5300.0,2693.0,759.0,False,1.3191945865654398,TAM038,Intermediate (III-IV),1,34.68752121750356
TAM038_V3_UA_N,0.7227325425845001,0.5658427593911465,0.928186920169511,0.5917488134355604,8731,13695,8104.0,627.0,5591.0,False,0.6375319459656809,TAM038,Tan (IV),2,24.93692422478573
TAM038_V5_UA_N,0.691963531993922,0.5290093578573734,0.7170851194121249,0.6685425332354621,11431,12261,8197.0,3234.0,4064.0,False,0.9323056846912976,TAM038,Intermediate (III-IV),1,34.15014232894884
TAM038_V11_UA_N,0.42146084605258477,0.26699423007573025,0.8635369587403412,0.2787556475903614,6859,21248,5923.0,936.0,15325.0,False,0.3228068524096386,TAM038,Dark (VI),4,1.7024134759733918
TAM038_V12_UA_N,0.6464694032388876,0.4776171331374671,0.9502384248577141,0.4898695531501526,13002,25221,12355.0,647.0,12866.0,False,0.5155227786368503,TAM038,Brown (V),3,18.41252023864505
TAM047_V12_UA_N,0.4047878622694649,0.25375174416949053,1.0,0.25375174416949053,8911,35117,8911.0,0.0,26206.0,False,0.25375174416949053,TAM047,Tan (IV),2,24.14111488481944
