stem,dice,iou,precision,recall,pred_positive_pixels,gt_positive_pixels,tp_pixels,fp_pixels,fn_pixels,complete_miss,pred_gt_ratio,subject,skin_tone_category,ita_group_index_5,ITA
TAM006_V5_UA_N,0.7677842708367341,0.6230924120389996,0.9989805454082066,0.6234888653234358,11771,18860,11759.0,12.0,7101.0,False,0.6241251325556734,TAM006,Dark (VI),4,-19.33250933042913
TAM006_V17_UA_N,0.6143255813953489,0.4433404940923738,0.48648250460405157,0.8333123028391167,13575,7925,6604.0,6971.0,1321.0,False,1.7129337539432177,TAM006,Dark (VI),4,-25.465380738794632
TAM0009_V2_UA_N,0.6355785837651122,0.46582278481012657,0.8309402501157943,0.5145930441018286,8636,13945,7176.0,1460.0,6769.0,False,0.6192900681247759,TAM0009,Intermediate (III-IV),1,28.636735446870823
TAM009_V4_UA_N,0.593159420289855,0.421625185429372,0.9261404779145547,0.436295411905168,5524,11726,5116.0,408.0,6610.0,False,0.47108988572403204,TAM009,Intermediate (III-IV),1,34.65934888960142
TAM028_V13_UA_N,0.8573492428701375,0.7503160852259424,0.9454770755885997,0.7842494248935441,16947,20431,16023.0,924.0,4408.0,False,0.8294748176790172,TAM028,Light (II-III),0,48.41732462470175
TAM030_V10_UA_N,0.9244456801278932,0.8595062685795528,0.8638794465975275,0.9941447614301732,46187,40135,39900.0,6287.0,235.0,False,1.1507910801046468,TAM030,Tan (IV),2,22.39983165987748
TAM030_V11_UA_N,0.8597998196306864,0.754077954409896,0.9848936458474461,0.7629017447199266,59048,76230,58156.0,892.0,18074.0,False,0.7746031746031746,TAM030,Intermediate (III-IV),1,39.19795514802316
TAM030_V12_UA_N,0.6171484288994433,0.4462868190606164,0.46893073944840113,0.9023638704930096,41842,21744,19621.0,22221.0,2123.0,False,1.9243009565857248,TAM030,Brown (V),3,13.911625816414466
TAM030_V13_UA_N,0.8314430707400974,0.7115126785193822,0.7902369545513401,0.8771828961552282,15446,13915,12206.0,3240.0,1709.0,False,1.1100251527128997,TAM030,Intermediate (III-IV),1,33.25643666541852
TAM031_V1_UA_N,0.6987878787878787,0.5370284117373079,0.791728290724699,0.6253755006675568,18932,23968,14988.999999999998,3943.000000000002,8979.000000000002,False,0.789886515353805,TAM031,Tan (IV),2,21.59012448925853
TAM031_V2_UA_N,0.33055031870006285,0.19799956979995698,0.986073915372255,0.19855478861087145,1867,9272,1841.0,26.0,7431.0,False,0.20135893011216566,TAM031,Intermediate (III-IV),1,29.943066228739127
TAM031_V4_UA_N,0.6028817347472538,0.4315180394826413,0.8503018108651912,0.4669957271253868,7455,13574,6339.0,1116.0,7235.0,False,0.5492117283041108,TAM031,Tan (IV),2,22.886388260432938
TAM033_V10_UA_N,0.7639409559512652,0.6180456828736612,0.7540471785383904,0.7740978157644824,8648,8424,6521.0,2127.0,1903.0,False,1.0265906932573599,TAM033,Tan (IV),2,21.117633980564545
TAM033_V11_UA_N,0.7331161925019941,0.5786767406474631,0.5877744617352377,0.97394913458142,18764,11324,11029.0,7735.0,295.0,False,1.6570116566584245,TAM033,Tan (IV),2,27.42911920361169
TAM033_V13_UA_N,0.3489462905463434,0.21134763124199743,0.3058837155432013,0.4061202521912963,8634,6503,2641.0,5993.0,3862.0,False,1.3276949100415194,TAM033,Tan (IV),2,26.358393383751764
TAM033_V15_UA_N,0.5964583688064021,0.42496663835982046,0.5363650283264432,0.6717162032598274,6531,5215,3502.9999999999995,3028.0000000000005,1712.0000000000005,False,1.2523489932885905,TAM033,Dark (VI),4,-4.844485835716313
TAM034_V4_UA_N,0.8496253122398002,0.7385639837869137,0.8300253790590226,0.8701732842133988,15367,14658,12755.0,2612.0,1903.0,False,1.048369491062901,TAM034,Intermediate (III-IV),1,33.86246537268775
TAM034_V5_UA_N,0.8444782168186423,0.7308198158702324,0.9152874735273355,0.7838382481359576,12749,14887,11669.0,1080.0,3218.0,False,0.8563847652314099,TAM034,Intermediate (III-IV),1,30.53264577569972
