stem,dice,iou,precision,recall,pred_positive_pixels,gt_positive_pixels,tp_pixels,fp_pixels,fn_pixels,complete_miss,pred_gt_ratio,subject,skin_tone_category,ita_group_index_5,ITA
TAM006_V5_UA_N,0.6699927743178612,0.5037512288508305,0.9542291482897187,0.5162248144220573,10203,18860,9736.0,467.0,9124.0,False,0.5409862142099682,TAM006,Dark (VI),4,-19.33250933042913
TAM006_V17_UA_N,0.8544562067537997,0.7458957150232318,0.8040961709706145,0.9115457413249212,8984,7925,7224.0,1760.0,701.0,False,1.133627760252366,TAM006,Dark (VI),4,-25.465380738794632
TAM0009_V2_UA_N,0.4303242769500438,0.2741485203796762,0.6702563324738359,0.31688777339548224,6593,13945,4419.0,2174.0,9526.0,False,0.4727859447830764,TAM0009,Intermediate (III-IV),1,28.636735446870823
TAM009_V4_UA_N,0.7758597376842296,0.63379970544919,0.8227702896472613,0.7340098925464779,10461,11726,8607.0,1854.0,3119.0,False,0.8921200750469043,TAM009,Intermediate (III-IV),1,34.65934888960142
TAM028_V13_UA_N,0.6528862954537962,0.4846556703049288,1.0,0.4846556703049288,9902,20431,9902.0,0.0,10529.0,False,0.4846556703049288,TAM028,Light (II-III),0,48.41732462470175
TAM030_V10_UA_N,0.9083204635668611,0.832039470607492,0.9311508871094364,0.8865827831070139,38214,40135,35583.0,2631.0,4552.0,False,0.9521365391802666,TAM030,Tan (IV),2,22.39983165987748
TAM030_V11_UA_N,0.8047321505570234,0.6732651187196642,1.0,0.6732651187196642,51323,76230,51323.0,0.0,24907.0,False,0.6732651187196642,TAM030,Intermediate (III-IV),1,39.19795514802316
TAM030_V12_UA_N,0.6774740810556079,0.5122576966932725,0.5399196962661496,0.9090783664459161,36611,21744,19767.0,16844.0,1977.0,False,1.6837288447387786,TAM030,Brown (V),3,13.911625816414466
TAM030_V13_UA_N,0.6880185565170844,0.5244118047055624,0.906974009173233,0.5542220625224578,8503,13915,7711.999999999999,791.0000000000009,6203.000000000001,False,0.6110671936758894,TAM030,Intermediate (III-IV),1,33.25643666541852
TAM031_V1_UA_N,0.6932963870830224,0.530568967767193,0.7087200941299516,0.6785297062750334,22947,23968,16262.999999999998,6684.000000000002,7705.000000000002,False,0.9574015353805073,TAM031,Tan (IV),2,21.59012448925853
