stem,dice,iou,precision,recall,pred_positive_pixels,gt_positive_pixels,tp_pixels,fp_pixels,fn_pixels,complete_miss,pred_gt_ratio,subject,skin_tone_category,ita_group_index_5,ITA
TAM006_V5_UA_N,0.9080435583144826,0.8315748903984198,0.9009813132894874,0.9152173913043479,19158,18860,17261.0,1897.0,1599.0,False,1.0158006362672323,TAM006,Dark (VI),4,-19.33250933042913
TAM006_V17_UA_N,0.8240492769148366,0.700751537235254,0.87776351447725,0.7765299684542587,7011,7925,6154.0,857.0,1771.0,False,0.8846687697160883,TAM006,Dark (VI),4,-25.465380738794632
TAM0009_V2_UA_N,0.8191363251481795,0.6936756059085042,0.9998966408268734,0.6937253495876659,9675,13945,9674.0,1.0,4271.0,False,0.6937970598780925,TAM0009,Intermediate (III-IV),1,28.636735446870823
TAM009_V4_UA_N,0.8694099642917871,0.7689878177169499,0.8667570774707578,0.8720791403718233,11798,11726,10226.0,1572.0,1500.0,False,1.0061402012621525,TAM009,Intermediate (III-IV),1,34.65934888960142
TAM028_V13_UA_N,0.748292234645428,0.597817042729186,1.0,0.597817042729186,12214,20431,12214.0,0.0,8217.0,False,0.597817042729186,TAM028,Light (II-III),0,48.41732462470175
TAM030_V10_UA_N,0.8965085369594111,0.8124290644615848,0.92028966494372,0.8739255014326648,38113,40135,35075.0,3038.0,5060.0,False,0.9496200323906815,TAM030,Tan (IV),2,22.39983165987748
TAM030_V11_UA_N,0.8465981983731268,0.7340011062745003,0.8980183308078208,0.8007477371113735,67973,76230,61041.0,6932.0,15189.0,False,0.8916830644103372,TAM030,Intermediate (III-IV),1,39.19795514802316
TAM030_V12_UA_N,0.6402450063363707,0.47085321202707203,0.4764032330489448,0.9758554083885209,44540,21744,21219.0,23321.0,525.0,False,2.0483811626195734,TAM030,Brown (V),3,13.911625816414466
TAM030_V13_UA_N,0.6537979278030753,0.4856610618167557,0.6044170581416631,0.7119655048508804,16391,13915,9907.0,6484.0,4008.0,False,1.1779374775422207,TAM030,Intermediate (III-IV),1,33.25643666541852
TAM031_V1_UA_N,0.7979665750316359,0.663847242893963,0.8363212293057715,0.7629756341789052,21866,23968,18287.0,3579.0,5681.0,False,0.912299732977303,TAM031,Tan (IV),2,21.59012448925853
TAM031_V2_UA_N,0.8588059845095493,0.7525503751791586,0.7751628310898827,0.9626833477135461,11515,9272,8926.0,2589.0,346.0,False,1.241911130284728,TAM031,Intermediate (III-IV),1,29.943066228739127
TAM031_V4_UA_N,0.6813032729419579,0.5166489451004533,0.6824868780956606,0.6801237660232798,13527,13574,9232.0,4295.0,4342.0,False,0.9965374981582437,TAM031,Tan (IV),2,22.886388260432938
TAM033_V10_UA_N,0.7387337951848549,0.5857080704807484,0.8748984565393989,0.6392450142450142,6155,8424,5385.0,770.0,3039.0,False,0.730650522317189,TAM033,Tan (IV),2,21.117633980564545
TAM033_V11_UA_N,0.6485668337905591,0.47991040179196415,0.5043896218549218,0.9081596608972095,20389,11324,10284.0,10105.0,1040.0,False,1.8005121865065348,TAM033,Tan (IV),2,27.42911920361169
TAM033_V13_UA_N,0.35561160151324084,0.21625766871165644,0.2834688842182217,0.47701061048746735,10943,6503,3102.0,7841.0,3401.0,False,1.6827618022451176,TAM033,Tan (IV),2,26.358393383751764
TAM033_V15_UA_N,0.7690870884893766,0.6248103186646434,0.6472360492533403,0.9474592521572387,7634,5215,4941.0,2693.0,274.0,False,1.4638542665388303,TAM033,Dark (VI),4,-4.844485835716313
TAM034_V4_UA_N,0.9089236430542779,0.8330522765598651,0.9079027976312027,0.9099467867376176,14691,14658,13338.0,1353.0,1320.0,False,1.0022513303315597,TAM034,Intermediate (III-IV),1,33.86246537268775
TAM034_V5_UA_N,0.8747687544833315,0.7774124278620319,0.9987068965517242,0.7781957412507557,11600,14887,11585.0,15.0,3302.0,False,0.7792033317659703,TAM034,Intermediate (III-IV),1,30.53264577569972
TAM034_V9_LA_N,0.0,0.0,1.0,0.0,0,822,0.0,0.0,822.0,True,0.0,TAM034,Light (II-III),0,44.26743676685447
TAM034_V11_UA_N,0.7216435683337638,0.5645088884898546,0.9999204834605598,0.5645342312008979,12576,22275,12575.0,1.0,9700.0,False,0.5645791245791246,TAM034,Intermediate (III-IV),1,34.68379835771153
TAM034_V14_UA_N,0.8149523455873252,0.6876958429078754,0.9763717251606525,0.6993343719019969,10115,14122,9876.0,239.0,4246.0,False,0.716258320351225,TAM034,Intermediate (III-IV),1,29.22125532341622
TAM034_V15_UA_N,0.7861653780322257,0.6476709131576388,0.9786921381337252,0.656934306569343,6805,10138,6660.0,145.0,3478.0,False,0.671236930361018,TAM034,Intermediate (III-IV),1,31.02746377258213
TAM034_V17_UA_N,0.7256560866519373,0.569435047361299,0.9617197543208114,0.5826410522672205,7001,11556,6733.0,268.0,4823.0,False,0.6058324679820007,TAM034,Intermediate (III-IV),1,38.76946049879104
TAM038_V1_UA_N,0.6534123100695338,0.48523561811505506,0.6143936458736924,0.6977230227697723,10324,9091,6343.0,3981.0,2748.0,False,1.1356286437135628,TAM038,Dark (VI),4,5.495538804852481
TAM038_V2_UA_N,0.8722188022161639,0.7733936369307548,0.9335466867469879,0.818451889750784,5312,6059,4959.0,353.0,1100.0,False,0.8767123287671232,TAM038,Intermediate (III-IV),1,34.68752121750356
TAM038_V3_UA_N,0.6935082754480748,0.53081719724319,0.8400332398462657,0.5905074844833881,9627,13695,8087.0,1540.0,5608.0,False,0.7029572836801753,TAM038,Tan (IV),2,24.93692422478573
TAM038_V5_UA_N,0.9075206611570248,0.8306982373855814,0.9197587737666472,0.8956039474757361,11939,12261,10981.0,958.0,1280.0,False,0.9737378680368649,TAM038,Intermediate (III-IV),1,34.15014232894884
TAM038_V11_UA_N,0.8002339865457736,0.666991711360312,0.8299292214357937,0.7725903614457831,19780,21248,16416.0,3364.0,4832.0,False,0.9309111445783133,TAM038,Dark (VI),4,1.7024134759733918
TAM038_V12_UA_N,0.9138016297920832,0.8412842947068372,0.9982149567831642,0.8425518417192023,21288,25221,21250.0,38.0,3971.0,False,0.8440585226596884,TAM038,Brown (V),3,18.41252023864505
TAM047_V12_UA_N,0.5473536164139899,0.3767975624341487,1.0,0.3767975624341487,13232,35117,13232.0,0.0,21885.0,False,0.3767975624341487,TAM047,Tan (IV),2,24.14111488481944
TAM047_V15_UA_N,0.9130604966729005,0.8400288092189501,0.9541859830924462,0.8753335557038026,11001,11992,10497.0,504.0,1495.0,False,0.917361574382922,TAM047,Brown (V),3,18.383491652624627
TAM047_V16_UA_N,0.9265944645006017,0.8632286995515696,0.8847862724069251,0.9725496800269451,6527,5938,5775.0,752.0,163.0,False,1.0991916470191985,TAM047,Intermediate (III-IV),1,29.899795424240374
TAM047_V19_UA_N,0.8565080107589755,0.7490284311720188,0.805543334799824,0.9143570536828963,4546,4005,3662.0,884.0,343.0,False,1.1350811485642947,TAM047,Intermediate (III-IV),1,31.21709742235485
TAM047_V20_UA_N,0.9096646231518212,0.8342979990077725,0.8514767932489451,0.9763886200890265,5925,5167,5045.0,880.0,122.0,False,1.146700212889491,TAM047,Tan (IV),2,27.89383139662274
